tic_id,label,source_catalog,disposition,period_days,epoch_btjd,depth_ppm,duration_hours,tmag,notes,mission
12405333,planet,kepler_cumulative_koi,CONFIRMED,0.764863517,132.13343,150.2,1.16,15.168,,kepler
8030339,planet,kepler_cumulative_koi,CONFIRMED,5.71668787,136.32274,431.7,1.97,15.665,multi-KOI star (kepid shared across KOIs),kepler
9964801,planet,kepler_cumulative_koi,CONFIRMED,13.72462702,180.64807,281.8,6.9758,13.645,,kepler
6118370,planet,kepler_cumulative_koi,CONFIRMED,14.0328775,138.0603,210.9,6.684,15.652,,kepler
9837661,planet,kepler_cumulative_koi,CONFIRMED,2.226496196,133.37195,1839.1,1.7073,16.835,multi-KOI star (kepid shared across KOIs),kepler
5480640,planet,kepler_cumulative_koi,CONFIRMED,58.0337426,138.7412,807.1,5.584,14.467,multi-KOI star (kepid shared across KOIs),kepler
8017703,planet,kepler_cumulative_koi,CONFIRMED,44.0003975,210.76222,599.6,5.1115,14.287,multi-KOI star (kepid shared across KOIs),kepler
7211141,planet,kepler_cumulative_koi,CONFIRMED,51.92920654,151.93321,3425.8,5.2637,15.897,,kepler
12314973,planet,kepler_cumulative_koi,CONFIRMED,15.4130812,136.94324,264.3,6.6358,11.684,multi-KOI star (kepid shared across KOIs),kepler
9480189,planet,kepler_cumulative_koi,CONFIRMED,2.382652873,170.66626,705.4,1.8888,15.471,multi-KOI star (kepid shared across KOIs),kepler
7040629,planet,kepler_cumulative_koi,CONFIRMED,4.22865217,170.74053,150.0,3.3275,13.749,multi-KOI star (kepid shared across KOIs),kepler
12306058,planet,kepler_cumulative_koi,CONFIRMED,20.4853893,146.9183,89.5,10.229,13.007,multi-KOI star (kepid shared across KOIs),kepler
5438757,planet,kepler_cumulative_koi,CONFIRMED,10.35078415,133.71163,273.1,6.253,14.659,multi-KOI star (kepid shared across KOIs),kepler
9480189,planet,kepler_cumulative_koi,CONFIRMED,24.66461416,189.02031,2398.8,2.8579,15.471,multi-KOI star (kepid shared across KOIs),kepler
9602613,planet,kepler_cumulative_koi,CONFIRMED,4.61225043,133.86134,29.1,2.695,11.83,multi-KOI star (kepid shared across KOIs),kepler
4056616,planet,kepler_cumulative_koi,CONFIRMED,2.41434868,132.42878,191.0,1.2701,13.156,,kepler
8612275,planet,kepler_cumulative_koi,CONFIRMED,3.289726319,131.75522,234.9,2.3274,14.866,multi-KOI star (kepid shared across KOIs),kepler
7673192,planet,kepler_cumulative_koi,CONFIRMED,8.92114318,137.49071,110.8,3.933,13.268,multi-KOI star (kepid shared across KOIs),kepler
