tic_id,label,source_catalog,disposition,period_days,epoch_btjd,depth_ppm,duration_hours,tmag,notes,mission
10797460,planet,kepler_cumulative_koi,CONFIRMED,9.48803557,170.53875,615.8,2.9575,15.347,multi-KOI star (kepid shared across KOIs),kepler
10797460,planet,kepler_cumulative_koi,CONFIRMED,54.4183827,162.51384,874.8,4.507,15.347,multi-KOI star (kepid shared across KOIs),kepler
10848459,eb,kepler_cumulative_koi,FALSE POSITIVE,1.736952453,170.307565,8079.2,2.40641,15.597,fpflags=ss,kepler
10854555,planet,kepler_cumulative_koi,CONFIRMED,2.525591777,171.59555,603.3,1.6545,15.509,,kepler
10872983,planet,kepler_cumulative_koi,CONFIRMED,11.09432054,171.20116,1517.5,4.5945,15.714,multi-KOI star (kepid shared across KOIs),kepler
10872983,planet,kepler_cumulative_koi,CONFIRMED,4.13443512,172.97937,686.0,3.1402,15.714,multi-KOI star (kepid shared across KOIs),kepler
10872983,planet,kepler_cumulative_koi,CONFIRMED,2.56658897,179.55437,226.5,2.429,15.714,multi-KOI star (kepid shared across KOIs),kepler
6721123,blend,kepler_cumulative_koi,FALSE POSITIVE,7.36178958,132.25053,233.7,5.022,12.66,fpflags=co+ss,kepler
10910878,planet,kepler_cumulative_koi,CONFIRMED,16.06864674,173.621937,4914.3,3.5347,15.841,multi-KOI star (kepid shared across KOIs),kepler
11446443,planet,kepler_cumulative_koi,CONFIRMED,2.470613377,122.763305,14230.9,1.74319,11.338,,kepler
10666592,planet,kepler_cumulative_koi,CONFIRMED,2.204735417,121.3585417,6674.7,3.88864,10.463,,kepler
6922244,planet,kepler_cumulative_koi,CONFIRMED,3.522498429,121.1194228,9145.7,3.19843,13.563,,kepler
10984090,planet,kepler_cumulative_koi,CONFIRMED,3.709214104,133.98318,131.1,2.6302,12.772,multi-KOI star (kepid shared across KOIs),kepler
10419211,eb,kepler_cumulative_koi,FALSE POSITIVE,11.521446064,170.839688,17984.3,3.6399,15.472,fpflags=ss,kepler
10464078,eb,kepler_cumulative_koi,FALSE POSITIVE,19.40393776,172.484253,8918.7,12.2155,15.487,fpflags=ss,kepler
10480982,eb,kepler_cumulative_koi,FALSE POSITIVE,19.221388942,184.5521637,74284.0,4.79843,15.341,fpflags=ss; multi-KOI star (kepid shared across KOIs),kepler
10485250,eb,kepler_cumulative_koi,FALSE POSITIVE,16.46983774,180.881761,10478.9,9.4378,15.788,fpflags=ss,kepler
10526549,planet,kepler_cumulative_koi,CONFIRMED,9.27358173,173.258155,1288.3,3.2875,15.302,,kepler
10583066,planet,kepler_cumulative_koi,CONFIRMED,6.02930329,171.602959,1912.7,1.5821,15.784,,kepler
10583180,blend,kepler_cumulative_koi,FALSE POSITIVE,2.696370652,170.73769,397.9,3.6129,15.269,fpflags=co+ss,kepler
10601284,planet,kepler_cumulative_koi,CONFIRMED,5.349553819,171.80694,831.0,3.0278,15.416,multi-KOI star (kepid shared across KOIs),kepler
10601284,planet,kepler_cumulative_koi,CONFIRMED,3.94105221,136.08662,363.3,2.5984,15.416,multi-KOI star (kepid shared across KOIs),kepler
10601284,planet,kepler_cumulative_koi,CONFIRMED,8.10904807,132.8031,217.4,3.596,15.416,multi-KOI star (kepid shared across KOIs),kepler
2306756,eb,kepler_cumulative_koi,FALSE POSITIVE,386.6030528,166.342079,24926.6,6.8057,12.394,fpflags=ss,kepler
10662202,planet,kepler_cumulative_koi,CONFIRMED,21.67699193,171.53594,857.2,3.4555,15.377,multi-KOI star (kepid shared across KOIs),kepler
10682541,planet,kepler_cumulative_koi,CONFIRMED,4.99677968,171.74208,934.7,2.1717,15.861,,kepler
11460018,planet,kepler_cumulative_koi,CONFIRMED,4.280963604,171.89659,750.8,2.875,15.356,,kepler
11463211,blend,kepler_cumulative_koi,FALSE POSITIVE,1.50635409,170.998064,2211.7,1.5155,15.525,fpflags=co,kepler
11465813,blend,kepler_cumulative_koi,FALSE POSITIVE,670.645531,209.04355,18090.6,53.412,15.207,fpflags=co+ss,kepler
11493732,eb,kepler_cumulative_koi,FALSE POSITIVE,61.2563628,173.83826,5123.3,7.633,15.25,fpflags=ss,kepler
11507101,planet,kepler_cumulative_koi,CONFIRMED,38.3775486,172.82048,724.2,5.588,15.172,,kepler
10910878,planet,kepler_cumulative_koi,CONFIRMED,41.19725502,165.00404,2213.9,4.6297,15.841,multi-KOI star (kepid shared across KOIs),kepler
10910878,planet,kepler_cumulative_koi,CONFIRMED,6.252962249,171.30126,1036.9,2.5819,15.841,multi-KOI star (kepid shared across KOIs),kepler
